Referência,Quartos,Banheiros,Suítes,Vagas de Garagem,Bairro,Área Total,Valor Venda
132860-4,3,2,0,2,Uvaranas,164,430000
148460-4,3,2,1,3,Jardim Carvalho,241,350000
154166-4,3,1,1,1,Oficinas,241,300000
146507-4,3,2,1,2,Uvaranas,80,169900
154050-4,2,1,0,1,Uvaranas,173,165000
120001-4,1,1,0,2,Boa Vista,360,150000
135027-4,3,1,0,2,Chapada,212,140000
125769-4,2,1,0,2,Uvaranas,173,136000
135026-4,2,2,1,3,Cará-cará,121,135000
147038-4,2,1,0,1,Uvaranas,40,130000
132480-4,3,1,0,2,Contorno / Sta. Paula,177,129990
126629-4,2,1,0,1,Contorno / Sta. Paula,45,126900
142938-4,2,1,0,1,Ronda,225,99000
80449-4,2,1,0,1,Uvaranas,173,95000
106618-4,3,2,1,2,Uvaranas,173,690000
126900-4,4,1,1,4,Estrela,249,650000
145960-4,4,2,1,4,Nova Rússia,237,650000
134592-4,4,6,2,3,Estrela,990,1800000
142989-4,6,4,1,4,Uvaranas,638,1250000
102109-4,3,4,1,2,Orfãs,335,1100000
134491-4,3,4,1,4,Uvaranas,194,700000
153617-4,3,3,1,2,Uvaranas,173,695000
148409-4,3,3,1,2,Jardim Carvalho,150,690000
24420-4,3,3,1,2,Ronda,225,690000
151295-4,3,2,1,2,Jardim Carvalho,241,690000
146903-4,3,3,0,3,Centro,180,690000
149078-4,3,1,0,2,Jardim Carvalho,150,690000
149079-4,3,2,1,2,Jardim Carvalho,150,690000
147713-4,3,2,0,2,Oficinas,573,680000
154750-4,3,2,1,2,Oficinas,147,680000
144332-4,3,2,1,2,Oficinas,152,680000
135040-4,3,2,3,2,Uvaranas,173,680000
128538-4,3,3,0,2,Estrela,250,680000
107299-4,3,2,0,1,Jardim Carvalho,241,680000
120198-4,2,2,1,3,Jardim Carvalho,1683,680000
143699-4,3,1,0,2,Uvaranas,162,680000
143700-4,3,2,1,2,Uvaranas,162,680000
145500-4,4,3,1,3,Orfãs,300,680000
125978-4,3,2,1,2,Neves,180,680000
147195-4,3,3,2,2,Oficinas,149,680000
126585-4,3,3,1,2,Uvaranas,180,680000
146592-4,3,3,0,2,Ronda,230,670000
154838-4,3,3,1,4,Orfãs,476,657200
102701-4,3,3,1,4,Chapada,290,650000
111095-4,5,4,2,2,Oficinas,230,650000
94383-4,3,2,1,2,Ronda,225,650000
127326-4,4,3,0,3,Orfãs,230,650000
151118-4,3,4,2,2,Orfãs,265,650000
145435-4,2,2,0,2,Uvaranas,462,650000
154123-4,3,1,0,3,Orfãs,324,650000
95221-4,3,2,1,2,Estrela,170,650000
145451-4,3,3,1,3,Estrela,250,650000
21829-4,4,2,1,3,Centro,384,650000
79256-4,4,5,2,4,Uvaranas,230,650000
154546-4,3,3,1,1,Oficinas,180,650000
128526-4,4,2,1,2,Neves,178,650000
143442-4,3,2,2,2,Orfãs,445,650000
148251-4,3,2,0,2,Nova Rússia,237,650000
148013-4,4,4,1,3,Uvaranas,896,650000
23504-4,7,4,2,6,Jardim Carvalho,420,650000
145684-4,3,3,1,1,Chapada,220,650000
154409-4,3,3,1,4,Oficinas,280,650000
151175-4,5,3,2,4,Oficinas,230,650000
133639-4,4,2,1,1,Orfãs,512,650000
128595-4,3,2,1,2,Jardim Carvalho,161,650000
119189-4,3,2,0,2,Oficinas,230,650000
131516-4,3,4,1,2,Oficinas,490,650000
129493-4,4,3,1,5,Uvaranas,173,650000
96025-4,4,1,1,3,Centro,232,650000
42619-4,5,6,2,2,Oficinas,260,650000
132664-4,3,1,0,2,Jardim Carvalho,300,650000
131738-4,3,1,0,2,Ronda,235,650000
111304-4,4,4,1,1,Orfãs,230,650000
126474-4,4,2,1,2,Estrela,222,650000
130854-4,4,3,1,5,Uvaranas,260,650000
119325-4,3,2,0,2,Colônia Dona Luiza,280,650000
133460-4,4,2,1,3,Orfãs,231,650000
154909-4,3,4,3,2,Uvaranas,182,650000
96527-4,4,3,1,3,Estrela,249,650000
154699-4,4,2,2,2,Orfãs,324,650000
126335-4,3,2,1,2,Oficinas,200,650000
148736-4,3,3,0,1,Estrela,333,650000
126539-4,3,3,1,3,Estrela,155,650000
144750-4,3,3,1,2,Estrela,247,650000
146269-4,4,4,0,1,Neves,300,650000
17685-4,3,3,1,2,Oficinas,165,650000
133760-4,3,2,0,2,Nova Rússia,237,650000
144972-4,3,1,0,3,Orfãs,210,650000
143386-4,4,4,1,5,Oficinas,160,650000
118950-4,3,2,0,2,Ronda,115,650000
142840-4,3,4,2,5,Jardim Carvalho,134,649000
154650-4,3,2,1,4,Contorno / Sta. Paula,462,640000
125893-4,3,2,1,3,Centro,440,639000
100709-4,3,2,1,1,Orfãs,140,636000
73824-4,3,2,0,2,Colônia Dona Luiza,832,630000
132911-4,4,3,1,2,Orfãs,660,630000
147581-4,5,3,1,2,Nova Rússia,215,625000
134596-4,4,1,0,2,Uvaranas,605,620000
